,éûçè,K [ﬂC],MG10^2 [ﬂC],MG10^3 [ﬂC],MG10^4 [ﬂC],No5 [V],No6 [V],No7 [V],No8 [V],No9 [V],No10 [V],No11 [V],No12 [V]
2021/10/20,12:35:05,4.42,4.32,6.24,5.37,0,0,0,0,0,0,0,0
2021/10/20,12:35:10,4.06,5.44,5.93,5.42,0,0,0,0,0,0,0,0
2021/10/20,12:35:15,4.82,5.58,6.18,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:35:20,4.27,5.37,5.99,5.4,0,0,0,0,0,0,0,0
2021/10/20,12:35:25,4.8,5.49,6.27,5.3,0,0,0,0,0,0,0,0
2021/10/20,12:35:30,4.29,5.27,5.89,5.27,0,0,0,0,0,0,0,0
2021/10/20,12:35:35,4.46,6.58,5.91,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:35:40,4.48,4.26,5.98,5.12,0,0,0,0,0,0,0,0
2021/10/20,12:35:45,4.08,5.23,5.73,5.22,0,0,0,0,0,0,0,0
2021/10/20,12:35:50,4.51,6.36,5.92,5.19,0,0,0,0,0,0,0,0
2021/10/20,12:35:55,4.48,4.03,5.92,5.06,0,0,0,0,0,0,0,0
2021/10/20,12:36:00,4.43,5.24,5.78,5.2,0,0,0,0,0,0,0,0
2021/10/20,12:36:05,4.93,5.3,6.03,5.08,0,0,0,0,0,0,0,0
2021/10/20,12:36:10,4.26,5.13,5.62,5.08,0,0,0,0,0,0,0,0
2021/10/20,12:36:15,4.54,6.24,5.73,5.16,0,0,0,0,0,0,0,0
2021/10/20,12:36:20,4.94,5.24,5.84,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:36:25,4.17,5.09,5.49,5.05,0,0,0,0,0,0,0,0
2021/10/20,12:36:30,4.61,6.11,5.75,5.04,0,0,0,0,0,0,0,0
2021/10/20,12:36:35,4.59,3.89,5.74,4.91,0,0,0,0,0,0,0,0
2021/10/20,12:36:40,4.21,5.02,5.42,5.01,0,0,0,0,0,0,0,0
2021/10/20,12:36:45,4.73,5.24,5.82,4.98,0,0,0,0,0,0,0,0
2021/10/20,12:36:50,4.62,3.83,5.71,4.9,0,0,0,0,0,0,0,0
2021/10/20,12:36:55,4.64,5.81,5.6,5.04,0,0,0,0,0,0,0,0
2021/10/20,12:37:00,5.08,5.15,5.8,4.91,0,0,0,0,0,0,0,0
2021/10/20,12:37:05,4.68,3.81,5.67,4.9,0,0,0,0,0,0,0,0
2021/10/20,12:37:10,4.69,6.17,5.56,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:37:15,5.06,5.11,5.67,4.88,0,0,0,0,0,0,0,0
2021/10/20,12:37:20,4.32,4.97,5.35,4.93,0,0,0,0,0,0,0,0
2021/10/20,12:37:25,4.73,6.14,5.58,4.93,0,0,0,0,0,0,0,0
2021/10/20,12:37:30,4.73,3.71,5.5,4.71,0,0,0,0,0,0,0,0
2021/10/20,12:37:35,4.35,4.84,5.21,4.8,0,0,0,0,0,0,0,0
2021/10/20,12:37:40,4.8,5.34,5.53,4.8,0,0,0,0,0,0,0,0
2021/10/20,12:37:45,4.76,3.62,5.5,4.7,0,0,0,0,0,0,0,0
2021/10/20,12:37:50,4.68,4.88,5.38,4.85,0,0,0,0,0,0,0,0
2021/10/20,12:37:55,5.19,4.96,5.67,4.76,0,0,0,0,0,0,0,0
2021/10/20,12:38:00,4.79,3.64,5.49,4.7,0,0,0,0,0,0,0,0
2021/10/20,12:38:05,4.73,5.03,5.38,4.85,0,0,0,0,0,0,0,0
2021/10/20,12:38:10,5.23,4.98,5.65,4.74,0,0,0,0,0,0,0,0
2021/10/20,12:38:15,4.69,4.78,5.31,4.77,0,0,0,0,0,0,0,0
2021/10/20,12:38:20,4.84,6.11,5.35,4.84,0,0,0,0,0,0,0,0
2021/10/20,12:38:25,4.91,3.91,5.43,4.69,0,0,0,0,0,0,0,0
2021/10/20,12:38:30,4.48,4.8,5.21,4.77,0,0,0,0,0,0,0,0
2021/10/20,12:38:35,5.17,4.95,5.63,4.76,0,0,0,0,0,0,0,0
2021/10/20,12:38:40,4.86,3.66,5.46,4.74,0,0,0,0,0,0,0,0
2021/10/20,12:38:45,4.51,4.8,5.21,4.78,0,0,0,0,0,0,0,0
2021/10/20,12:38:50,5.23,4.95,5.61,4.76,0,0,0,0,0,0,0,0
2021/10/20,12:38:55,4.91,3.62,5.46,4.74,0,0,0,0,0,0,0,0
2021/10/20,12:39:00,4.91,5.9,5.36,4.85,0,0,0,0,0,0,0,0
2021/10/20,12:39:05,5.33,4.98,5.53,4.76,0,0,0,0,0,0,0,0
2021/10/20,12:39:10,4.93,3.65,5.46,4.74,0,0,0,0,0,0,0,0
2021/10/20,12:39:15,4.93,5.85,5.36,4.87,0,0,0,0,0,0,0,0
2021/10/20,12:39:20,5.35,5,5.57,4.76,0,0,0,0,0,0,0,0
2021/10/20,12:39:25,4.66,4.84,5.24,4.8,0,0,0,0,0,0,0,0
2021/10/20,12:39:30,4.99,6.22,5.35,4.87,0,0,0,0,0,0,0,0
2021/10/20,12:39:35,5.4,5,5.6,4.77,0,0,0,0,0,0,0,0
2021/10/20,12:39:40,4.75,4.85,5.25,4.8,0,0,0,0,0,0,0,0
2021/10/20,12:39:45,5.01,6.15,5.35,4.88,0,0,0,0,0,0,0,0
2021/10/20,12:39:50,5.12,4.59,5.45,4.71,0,0,0,0,0,0,0,0
2021/10/20,12:39:55,4.61,4.85,5.18,4.81,0,0,0,0,0,0,0,0
2021/10/20,12:40:00,5.04,6.21,5.36,4.91,0,0,0,0,0,0,0,0
2021/10/20,12:40:05,5.24,4.87,5.46,4.74,0,0,0,0,0,0,0,0
2021/10/20,12:40:10,4.65,4.88,5.18,4.82,0,0,0,0,0,0,0,0
2021/10/20,12:40:15,5.09,5.57,5.5,4.82,0,0,0,0,0,0,0,0
2021/10/20,12:40:20,5.08,3.77,5.49,4.74,0,0,0,0,0,0,0,0
2021/10/20,12:40:25,4.66,4.91,5.21,4.84,0,0,0,0,0,0,0,0
2021/10/20,12:40:30,5.11,6.15,5.45,4.85,0,0,0,0,0,0,0,0
2021/10/20,12:40:35,5.11,3.8,5.49,4.74,0,0,0,0,0,0,0,0
2021/10/20,12:40:40,4.73,4.88,5.25,4.85,0,0,0,0,0,0,0,0
2021/10/20,12:40:45,5.37,5.06,5.65,4.82,0,0,0,0,0,0,0,0
2021/10/20,12:40:50,5.15,3.95,5.49,4.76,0,0,0,0,0,0,0,0
2021/10/20,12:40:55,4.73,4.91,5.21,4.85,0,0,0,0,0,0,0,0
2021/10/20,12:41:00,5.26,5.17,5.64,4.85,0,0,0,0,0,0,0,0
2021/10/20,12:41:05,5.12,3.8,5.52,4.78,0,0,0,0,0,0,0,0
2021/10/20,12:41:10,5.02,4.94,5.4,4.92,0,0,0,0,0,0,0,0
2021/10/20,12:41:15,5.19,5.78,5.56,4.89,0,0,0,0,0,0,0,0
2021/10/20,12:41:20,5.17,3.84,5.52,4.8,0,0,0,0,0,0,0,0
2021/10/20,12:41:25,5.48,5.1,5.69,4.88,0,0,0,0,0,0,0,0
2021/10/20,12:41:30,4.76,4.94,5.27,4.89,0,0,0,0,0,0,0,0
2021/10/20,12:41:35,5.17,3.8,5.54,4.82,0,0,0,0,0,0,0,0
2021/10/20,12:41:40,5.28,5.28,5.64,4.89,0,0,0,0,0,0,0,0
2021/10/20,12:41:45,4.86,4.99,5.32,4.92,0,0,0,0,0,0,0,0
2021/10/20,12:41:50,5.22,6.34,5.46,4.98,0,0,0,0,0,0,0,0
2021/10/20,12:41:55,5.62,5.14,5.72,4.91,0,0,0,0,0,0,0,0
2021/10/20,12:42:00,5.09,4.96,5.42,4.94,0,0,0,0,0,0,0,0
2021/10/20,12:42:05,5.24,6.33,5.46,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:42:10,5.53,5.14,5.57,4.88,0,0,0,0,0,0,0,0
2021/10/20,12:42:15,4.86,5.03,5.32,4.94,0,0,0,0,0,0,0,0
2021/10/20,12:42:20,5.24,6.22,5.5,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:42:25,5.66,5.18,5.69,4.94,0,0,0,0,0,0,0,0
2021/10/20,12:42:30,4.99,5.03,5.36,4.95,0,0,0,0,0,0,0,0
2021/10/20,12:42:35,5.28,6.33,5.49,5.03,0,0,0,0,0,0,0,0
2021/10/20,12:42:40,5.49,5.06,5.58,4.89,0,0,0,0,0,0,0,0
2021/10/20,12:42:45,5.23,4.84,5.53,4.95,0,0,0,0,0,0,0,0
2021/10/20,12:42:50,5.28,6.32,5.52,5.06,0,0,0,0,0,0,0,0
2021/10/20,12:42:55,5.69,5.21,5.67,4.94,0,0,0,0,0,0,0,0
2021/10/20,12:43:00,4.95,5.07,5.38,4.98,0,0,0,0,0,0,0,0
2021/10/20,12:43:05,5.31,6.44,5.52,5.06,0,0,0,0,0,0,0,0
2021/10/20,12:43:10,5.7,5.23,5.82,4.96,0,0,0,0,0,0,0,0
2021/10/20,12:43:15,5.23,4.87,5.54,4.99,0,0,0,0,0,0,0,0
2021/10/20,12:43:20,5.31,6.34,5.53,5.09,0,0,0,0,0,0,0,0
2021/10/20,12:43:25,5.7,5.25,5.69,4.96,0,0,0,0,0,0,0,0
2021/10/20,12:43:30,4.93,5.1,5.36,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:43:35,5.7,5.27,5.69,4.98,0,0,0,0,0,0,0,0
2021/10/20,12:43:40,4.93,5.11,5.38,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:43:45,5.35,6.48,5.54,5.09,0,0,0,0,0,0,0,0
2021/10/20,12:43:50,5.74,5.27,5.85,5,0,0,0,0,0,0,0,0
2021/10/20,12:43:55,5.33,4.55,5.64,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:44:00,5.34,6.36,5.57,5.11,0,0,0,0,0,0,0,0
2021/10/20,12:44:05,5.75,5.29,5.81,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:44:10,5.16,5.13,5.5,5.05,0,0,0,0,0,0,0,0
2021/10/20,12:44:15,5.28,5.24,5.58,5.11,0,0,0,0,0,0,0,0
2021/10/20,12:44:20,5.75,5.29,5.87,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:44:25,5.35,4.15,5.69,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:44:30,5.37,6.19,5.61,5.13,0,0,0,0,0,0,0,0
2021/10/20,12:44:35,5.8,5.32,5.87,5.03,0,0,0,0,0,0,0,0
2021/10/20,12:44:40,5.37,3.98,5.69,4.98,0,0,0,0,0,0,0,0
2021/10/20,12:44:45,5.17,5.14,5.56,5.09,0,0,0,0,0,0,0,0
2021/10/20,12:44:50,5.74,5.31,5.86,5.05,0,0,0,0,0,0,0,0
2021/10/20,12:44:55,5.38,3.97,5.71,5.02,0,0,0,0,0,0,0,0
2021/10/20,12:45:00,5.34,5.39,5.61,5.13,0,0,0,0,0,0,0,0
2021/10/20,12:45:05,5.46,5.63,5.75,5.07,0,0,0,0,0,0,0,0
2021/10/20,12:45:10,5.4,4.05,5.69,4.98,0,0,0,0,0,0,0,0
2021/10/20,12:45:15,5.02,5.16,5.47,5.09,0,0,0,0,0,0,0,0
2021/10/20,12:45:20,5.56,5.35,5.86,5.07,0,0,0,0,0,0,0,0
2021/10/20,12:45:25,5.4,4.04,5.71,4.99,0,0,0,0,0,0,0,0
2021/10/20,12:45:30,4.99,5.2,5.43,5.1,0,0,0,0,0,0,0,0
2021/10/20,12:45:35,5.44,6.52,5.64,5.13,0,0,0,0,0,0,0,0
2021/10/20,12:45:40,5.57,4.2,5.71,4.99,0,0,0,0,0,0,0,0
2021/10/20,12:45:45,5.11,5.2,5.43,5.11,0,0,0,0,0,0,0,0
2021/10/20,12:45:50,5.55,6.11,5.71,5.1,0,0,0,0,0,0,0,0
2021/10/20,12:45:55,5.88,5.36,5.76,5.05,0,0,0,0,0,0,0,0
2021/10/20,12:46:00,5.21,5.24,5.5,5.1,0,0,0,0,0,0,0,0
2021/10/20,12:46:05,5.54,6.56,5.64,5.18,0,0,0,0,0,0,0,0
2021/10/20,12:46:10,5.79,5.34,5.74,5.05,0,0,0,0,0,0,0,0
2021/10/20,12:46:15,5.14,5.34,5.59,5.22,0,0,0,0,0,0,0,0
2021/10/20,12:46:20,5.51,6.32,5.75,5.29,0,0,0,0,0,0,0,0
2021/10/20,12:46:25,5.95,5.49,6.03,5.19,0,0,0,0,0,0,0,0
2021/10/20,12:46:30,5.5,5.02,5.8,5.22,0,0,0,0,0,0,0,0
2021/10/20,12:46:35,5.54,6.53,5.77,5.3,0,0,0,0,0,0,0,0
2021/10/20,12:46:40,5.95,5.51,5.99,5.2,0,0,0,0,0,0,0,0
2021/10/20,12:46:45,5.46,5.27,5.74,5.23,0,0,0,0,0,0,0,0
2021/10/20,12:46:50,5.3,5.34,5.71,5.24,0,0,0,0,0,0,0,0
2021/10/20,12:46:55,5.87,5.48,6.03,5.22,0,0,0,0,0,0,0,0
2021/10/20,12:47:00,5.52,4.18,5.87,5.17,0,0,0,0,0,0,0,0
2021/10/20,12:47:05,5.46,5.41,5.77,5.29,0,0,0,0,0,0,0,0
2021/10/20,12:47:10,5.92,5.49,6.04,5.22,0,0,0,0,0,0,0,0
2021/10/20,12:47:15,5.57,4.28,5.85,5.13,0,0,0,0,0,0,0,0
2021/10/20,12:47:20,5.15,5.35,5.59,5.24,0,0,0,0,0,0,0,0
2021/10/20,12:47:25,5.59,6.06,5.92,5.24,0,0,0,0,0,0,0,0
2021/10/20,12:47:30,5.57,4.26,5.85,5.15,0,0,0,0,0,0,0,0
2021/10/20,12:47:35,5.12,5.37,5.59,5.24,0,0,0,0,0,0,0,0
2021/10/20,12:47:40,5.55,6.69,5.78,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:47:45,5.86,5.52,5.89,5.2,0,0,0,0,0,0,0,0
2021/10/20,12:47:50,5.19,5.4,5.63,5.24,0,0,0,0,0,0,0,0
2021/10/20,12:47:55,5.57,6.69,5.78,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:48:00,5.8,5.52,5.88,5.2,0,0,0,0,0,0,0,0
2021/10/20,12:48:05,5.52,4.35,5.89,5.23,0,0,0,0,0,0,0,0
2021/10/20,12:48:10,5.52,6.07,5.8,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:48:15,5.95,5.53,6.07,5.23,0,0,0,0,0,0,0,0
2021/10/20,12:48:20,5.52,4.32,5.89,5.23,0,0,0,0,0,0,0,0
2021/10/20,12:48:25,5.52,6.18,5.81,5.34,0,0,0,0,0,0,0,0
2021/10/20,12:48:30,5.62,5.77,5.99,5.24,0,0,0,0,0,0,0,0
2021/10/20,12:48:35,5.54,4.28,5.89,5.17,0,0,0,0,0,0,0,0
2021/10/20,12:48:40,5.15,5.37,5.62,5.26,0,0,0,0,0,0,0,0
2021/10/20,12:48:45,5.61,5.75,5.99,5.24,0,0,0,0,0,0,0,0
2021/10/20,12:48:50,5.52,4.28,5.89,5.17,0,0,0,0,0,0,0,0
2021/10/20,12:48:55,5.18,5.41,5.64,5.26,0,0,0,0,0,0,0,0
2021/10/20,12:49:00,5.54,6.71,5.8,5.34,0,0,0,0,0,0,0,0
2021/10/20,12:49:05,5.84,5.52,5.89,5.22,0,0,0,0,0,0,0,0
2021/10/20,12:49:10,5.19,5.41,5.66,5.24,0,0,0,0,0,0,0,0
2021/10/20,12:49:15,5.54,6.82,5.9,5.43,0,0,0,0,0,0,0,0
2021/10/20,12:49:20,5.9,5.64,6.17,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:49:25,5.48,4.36,6.01,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:49:30,5.46,5.59,5.9,5.4,0,0,0,0,0,0,0,0
2021/10/20,12:49:35,5.88,5.64,6.16,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:49:40,5.5,4.28,6.01,5.32,0,0,0,0,0,0,0,0
2021/10/20,12:49:45,5.21,5.5,5.72,5.36,0,0,0,0,0,0,0,0
2021/10/20,12:49:50,5.63,6.7,5.91,5.37,0,0,0,0,0,0,0,0
2021/10/20,12:49:55,5.65,5.11,5.95,5.29,0,0,0,0,0,0,0,0
2021/10/20,12:50:00,5.23,5.48,5.73,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:50:05,5.6,6.7,5.9,5.36,0,0,0,0,0,0,0,0
2021/10/20,12:50:10,5.94,5.64,6.09,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:50:15,5.5,5.18,5.9,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:50:20,5.58,6.57,5.88,5.4,0,0,0,0,0,0,0,0
2021/10/20,12:50:25,5.97,5.62,6.1,5.3,0,0,0,0,0,0,0,0
2021/10/20,12:50:30,5.52,5.17,6.03,5.43,0,0,0,0,0,0,0,0
2021/10/20,12:50:35,5.2,5.56,5.85,5.43,0,0,0,0,0,0,0,0
2021/10/20,12:50:40,5.67,5.82,6.16,5.43,0,0,0,0,0,0,0,0
2021/10/20,12:50:45,5.56,4.41,6.05,5.35,0,0,0,0,0,0,0,0
2021/10/20,12:50:50,5.18,5.56,5.81,5.43,0,0,0,0,0,0,0,0
2021/10/20,12:50:55,5.58,6.29,6.1,5.43,0,0,0,0,0,0,0,0
2021/10/20,12:51:00,5.86,5.71,6.1,5.39,0,0,0,0,0,0,0,0
2021/10/20,12:51:05,5.16,5.57,5.81,5.42,0,0,0,0,0,0,0,0
2021/10/20,12:51:10,5.68,5.79,6.15,5.42,0,0,0,0,0,0,0,0
2021/10/20,12:51:15,5.53,4.47,6.04,5.35,0,0,0,0,0,0,0,0
2021/10/20,12:51:20,5.23,5.57,5.83,5.42,0,0,0,0,0,0,0,0
2021/10/20,12:51:25,5.53,6.81,5.94,5.46,0,0,0,0,0,0,0,0
2021/10/20,12:51:30,5.82,5.68,6.07,5.36,0,0,0,0,0,0,0,0
2021/10/20,12:51:35,5.27,5.53,5.86,5.41,0,0,0,0,0,0,0,0
2021/10/20,12:51:40,5.5,6.72,5.94,5.45,0,0,0,0,0,0,0,0
2021/10/20,12:51:45,5.82,5.68,6.19,5.38,0,0,0,0,0,0,0,0
2021/10/20,12:51:50,5.49,4.38,6.04,5.31,0,0,0,0,0,0,0,0
2021/10/20,12:51:55,5.18,5.52,5.87,5.41,0,0,0,0,0,0,0,0
2021/10/20,12:52:00,5.68,5.7,6.16,5.38,0,0,0,0,0,0,0,0
2021/10/20,12:52:05,5.47,4.34,6,5.28,0,0,0,0,0,0,0,0
2021/10/20,12:52:10,5.1,5.53,5.78,5.36,0,0,0,0,0,0,0,0
2021/10/20,12:52:15,5.49,6.81,5.92,5.43,0,0,0,0,0,0,0,0
2021/10/20,12:52:20,5.78,5.65,6.04,5.34,0,0,0,0,0,0,0,0
2021/10/20,12:52:25,5.24,5.49,5.82,5.36,0,0,0,0,0,0,0,0
2021/10/20,12:52:30,5.43,6.74,5.9,5.41,0,0,0,0,0,0,0,0
2021/10/20,12:52:35,5.68,5.67,6.1,5.34,0,0,0,0,0,0,0,0
2021/10/20,12:52:40,5.52,4.42,6,5.28,0,0,0,0,0,0,0,0
2021/10/20,12:52:45,5.22,5.47,5.81,5.35,0,0,0,0,0,0,0,0
2021/10/20,12:52:50,5.63,5.84,6.17,5.44,0,0,0,0,0,0,0,0
2021/10/20,12:52:55,5.52,4.5,6.07,5.34,0,0,0,0,0,0,0,0
2021/10/20,12:53:00,5.23,5.59,5.87,5.42,0,0,0,0,0,0,0,0
2021/10/20,12:53:05,5.48,6.87,5.98,5.49,0,0,0,0,0,0,0,0
2021/10/20,12:53:10,5.87,5.73,6.16,5.4,0,0,0,0,0,0,0,0
2021/10/20,12:53:15,5.15,5.56,5.84,5.41,0,0,0,0,0,0,0,0
2021/10/20,12:53:20,5.84,5.71,6.24,5.38,0,0,0,0,0,0,0,0
2021/10/20,12:53:25,5.46,6.61,5.95,5.47,0,0,0,0,0,0,0,0
2021/10/20,12:53:30,5.46,4.48,6.05,5.31,0,0,0,0,0,0,0,0
2021/10/20,12:53:35,5.51,6.18,6.07,5.38,0,0,0,0,0,0,0,0
2021/10/20,12:53:40,5.34,5.44,5.91,5.38,0,0,0,0,0,0,0,0
2021/10/20,12:53:45,5.44,6.82,5.93,5.47,0,0,0,0,0,0,0,0
2021/10/20,12:53:50,5.91,5.79,6.24,5.46,0,0,0,0,0,0,0,0
2021/10/20,12:53:55,5.5,4.79,6.11,5.44,0,0,0,0,0,0,0,0
2021/10/20,12:54:00,5.14,5.62,5.87,5.47,0,0,0,0,0,0,0,0
2021/10/20,12:54:05,5.52,6.8,6.06,5.47,0,0,0,0,0,0,0,0
2021/10/20,12:54:10,5.59,5.19,6.08,5.39,0,0,0,0,0,0,0,0
2021/10/20,12:54:15,5.14,5.64,5.87,5.44,0,0,0,0,0,0,0,0
2021/10/20,12:54:20,5.48,6.81,6.01,5.48,0,0,0,0,0,0,0,0
2021/10/20,12:54:25,5.75,5.72,6.09,5.4,0,0,0,0,0,0,0,0
2021/10/20,12:54:30,5.46,4.53,6.09,5.4,0,0,0,0,0,0,0,0
2021/10/20,12:54:35,5.3,5.59,5.98,5.44,0,0,0,0,0,0,0,0
2021/10/20,12:54:40,5.7,5.75,6.2,5.4,0,0,0,0,0,0,0,0
2021/10/20,12:54:45,5.43,4.49,6.08,5.35,0,0,0,0,0,0,0,0
2021/10/20,12:54:50,5.07,5.55,5.84,5.41,0,0,0,0,0,0,0,0
2021/10/20,12:54:55,5.43,6.78,5.95,5.46,0,0,0,0,0,0,0,0
2021/10/20,12:55:00,5.73,5.69,6.09,5.36,0,0,0,0,0,0,0,0
2021/10/20,12:55:05,5.26,5.5,5.91,5.37,0,0,0,0,0,0,0,0
2021/10/20,12:55:10,5.36,6.6,5.97,5.44,0,0,0,0,0,0,0,0
2021/10/20,12:55:15,5.76,5.68,6.17,5.35,0,0,0,0,0,0,0,0
2021/10/20,12:55:20,5.36,4.5,6.01,5.29,0,0,0,0,0,0,0,0
2021/10/20,12:55:25,5.01,5.5,5.77,5.36,0,0,0,0,0,0,0,0
2021/10/20,12:55:30,5.65,5.64,6.16,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:55:35,5.33,4.34,5.99,5.26,0,0,0,0,0,0,0,0
2021/10/20,12:55:40,5,5.5,5.76,5.33,0,0,0,0,0,0,0,0
2021/10/20,12:55:45,5.32,6.83,6,5.5,0,0,0,0,0,0,0,0
2021/10/20,12:55:50,5.69,5.74,6.25,5.41,0,0,0,0,0,0,0,0
2021/10/20,12:55:55,5.29,4.81,6.04,5.41,0,0,0,0,0,0,0,0
2021/10/20,12:56:00,5.26,6.21,5.99,5.47,0,0,0,0,0,0,0,0
2021/10/20,12:56:05,5.75,5.71,6.25,5.38,0,0,0,0,0,0,0,0
2021/10/20,12:56:10,5.43,4.65,6.05,5.31,0,0,0,0,0,0,0,0
2021/10/20,12:56:15,4.98,5.54,5.78,5.39,0,0,0,0,0,0,0,0
2021/10/20,12:56:20,5.35,6.84,5.93,5.43,0,0,0,0,0,0,0,0
2021/10/20,12:56:25,5.64,5.68,6.04,5.31,0,0,0,0,0,0,0,0
